Date,Price,Open,High,Low,Change %
2016-07-20,604.24,594.97,606.19,592.23,1.10%
2016-07-21,603.81,595.35,605.81,593.14,-0.07%
2016-07-22,604.73,594.81,608.5,594.11,0.15%
2016-07-25,599.105,594.38,600.905,594.38,-0.93%
2016-07-26,599.625,596.49,600.645,594.38,0.09%
2016-07-27,596.245,596.92,601.385,592.77,-0.56%
2016-07-28,601.18,593.04,602.63,589.84,0.83%
2016-07-29,596.04,592.07,601.55,585.73,-0.85%
2016-08-01,590.585,587.04,591.265,585.0,-0.92%
2016-08-02,593.37,587.51,597.14,583.58,0.47%
2016-08-03,590.96,584.37,591.49,583.85,-0.41%
2016-08-04,594.37,588.46,595.38,587.0,0.58%
2016-08-05,600.27,589.52,602.79,587.62,0.99%
2016-08-08,593.99,587.88,595.05,587.88,-1.05%
2016-08-09,592.6,591.65,595.21,589.41,-0.23%
2016-08-10,589.38,590.15,593.4,586.25,-0.54%
2016-08-11,591.49,587.04,591.81,586.2,0.36%
2016-08-12,590.12,589.15,592.02,584.63,-0.23%
2016-08-15,589.17,587.97,590.47,585.0,-0.16%
2016-08-16,584.23,586.72,589.85,579.26,-0.84%
2016-08-17,583.71,581.68,586.04,579.57,-0.09%
2016-08-18,580.28,581.21,584.74,577.0,-0.59%
2016-08-19,581.76,577.99,582.89,577.38,0.26%
2016-08-22,588.31,579.72,590.47,578.43,1.13%
2016-08-23,589.08,579.62,589.29,577.63,0.13%
2016-08-24,591.24,580.03,592.44,578.55,0.37%
2016-08-25,583.87,582.24,585.16,580.0,-1.25%
2016-08-26,588.49,581.42,589.28,578.45,0.79%
2016-08-29,588.91,585.99,590.49,585.56,0.07%
2016-08-30,597.57,586.3,598.25,585.73,1.47%
2016-08-31,590.49,588.57,592.34,586.99,-1.18%
2016-09-01,590.09,587.99,594.16,585.5,-0.07%
2016-09-02,590.59,585.5,590.86,582.92,0.08%
2016-09-05,591.22,587.09,591.44,586.72,0.11%
2016-09-06,585.42,588.57,591.38,582.0,-0.98%
2016-09-07,588.725,582.92,589.505,582.08,0.56%
2016-09-08,585.16,583.75,586.56,579.11,-0.61%
2016-09-09,592.28,582.66,594.73,580.96,1.22%
2016-09-12,591.88,582.96,593.04,581.8,-0.07%
2016-09-13,593.53,582.96,594.41,582.56,0.28%
2016-09-14,591.87,584.53,593.89,581.78,-0.28%
2016-09-15,592.23,583.07,593.63,581.57,0.06%
2016-09-16,593.265,583.23,593.635,582.66,0.17%
2016-09-19,592.15,587.99,593.47,585.68,-0.19%
2016-09-20,593.425,587.09,593.585,584.89,0.22%
2016-09-21,591.355,587.93,594.935,585.82,-0.35%
2016-09-22,590.325,585.83,591.685,582.61,-0.17%
2016-09-23,593.16,585.05,594.94,583.11,0.48%
2016-09-26,587.965,585.73,590.885,573.36,-0.88%
2016-09-27,590.01,582.66,591.37,582.3,0.35%
2016-09-28,593.63,584.79,595.57,583.75,0.61%
2016-09-29,593.42,584.89,595.0,582.97,-0.04%
2016-09-30,592.28,584.53,596.78,583.06,-0.19%
2016-10-03,590.225,584.06,590.585,583.44,-0.35%
2016-10-04,590.59,585.05,594.11,583.7,0.06%
2016-10-05,590.51,585.26,591.24,583.85,-0.01%
2016-10-06,593.37,585.21,594.0,584.89,0.48%
2016-10-07,590.255,588.04,595.265,585.0,-0.52%
2016-10-10,593.595,585.15,594.065,585.15,0.57%
2016-10-11,598.16,588.83,598.54,588.51,0.77%
2016-10-12,600.55,593.25,600.87,592.45,0.40%
2016-10-13,597.97,596.0,601.91,592.71,-0.43%
2016-10-14,602.685,593.04,602.795,592.98,0.79%
2016-10-17,605.22,596.43,605.92,595.0,0.42%
2016-10-18,606.19,596.16,606.79,594.81,0.16%
2016-10-19,608.0,597.3,608.72,596.0,0.30%
2016-10-20,608.92,598.0,609.58,595.3,0.15%
2016-10-21,610.73,600.03,612.29,599.0,0.30%
2016-10-24,607.61,602.35,608.5,601.74,-0.51%
2016-10-25,609.465,602.57,611.625,602.13,0.31%
2016-10-26,610.19,602.74,611.74,599.21,0.12%
2016-10-27,610.8,601.13,611.68,599.43,0.10%
2016-10-28,606.08,601.74,611.74,596.38,-0.77%
2016-10-31,606.3,597.08,608.7,596.7,0.04%
2016-11-01,605.5,597.19,608.0,596.0,-0.13%
2016-11-02,601.395,596.0,602.125,596.0,-0.68%
2016-11-03,601.025,600.54,603.515,599.0,-0.06%
2016-11-04,599.075,600.995,602.345,598.915,-0.32%
2016-11-07,605.54,606.74,606.74,605.54,1.08%
2016-11-08,606.08,606.08,606.08,606.08,0.09%
2016-11-09,611.765,597.985,611.995,590.685,0.94%
2016-11-10,612.665,611.815,614.355,609.225,0.15%
2016-11-11,615.255,612.725,616.245,611.005,0.42%
2016-11-14,605.865,621.075,621.075,605.865,-1.53%
2016-11-15,606.45,607.65,608.51,606.45,0.10%
2016-11-16,618.93,604.62,620.25,604.62,2.06%
2016-11-17,618.85,617.78,620.09,614.7,-0.01%
2016-11-18,619.445,622.295,623.455,619.445,0.10%
2016-11-21,618.0,616.77,618.0,616.77,-0.23%
2016-11-22,618.895,620.115,620.115,618.895,0.14%
2016-11-23,625.125,617.375,626.665,613.035,1.01%
2016-11-24,625.13,625.25,626.96,623.49,0.00%
2016-11-25,623.05,626.74,627.74,622.64,-0.33%
2016-11-28,622.21,624.07,624.07,622.21,-0.13%
2016-11-29,619.785,621.295,622.815,619.785,-0.39%
2016-11-30,622.97,619.83,624.67,619.14,0.51%
2016-12-01,619.01,623.13,623.43,618.84,-0.64%
2016-12-02,618.86,618.92,621.47,617.71,-0.02%
2016-12-05,619.5,619.58,622.46,616.66,0.10%
2016-12-06,615.715,617.895,617.895,606.635,-0.61%
2016-12-07,613.625,615.565,616.185,613.005,-0.34%
2016-12-08,617.6,617.37,617.6,615.67,0.65%
2016-12-09,616.5,616.63,616.63,616.5,-0.18%
2016-12-12,617.0,617.13,617.13,617.0,0.08%
2016-12-13,616.5,616.63,616.63,616.5,-0.08%
2016-12-14,617.6,619.59,619.59,617.46,0.18%
2016-12-15,617.6,617.6,617.6,617.6,0.00%
2016-12-16,617.6,617.6,617.6,617.6,0.00%
2016-12-19,617.6,617.6,617.6,617.6,0.00%
2016-12-20,617.6,617.6,617.6,617.6,0.00%
2016-12-21,633.115,635.295,635.655,614.035,2.51%
2016-12-22,632.295,633.015,633.205,629.245,-0.13%
2016-12-23,631.565,632.285,632.945,630.425,-0.12%
2016-12-26,631.205,631.445,632.345,630.185,-0.06%
2016-12-27,631.085,631.025,632.585,630.605,-0.02%
2016-12-28,633.72,631.19,634.93,629.81,0.42%
2016-12-29,628.98,633.36,634.02,628.92,-0.75%
2016-12-30,628.92,628.92,628.92,628.92,-0.01%
2017-01-02,628.92,628.92,628.92,628.92,0.00%
2017-01-03,627.5,627.6,627.6,626.5,-0.23%
2017-01-04,625.69,628.31,628.31,625.69,-0.29%
2017-01-05,626.88,626.5,626.88,626.35,0.19%
2017-01-06,624.25,624.4,624.4,623.63,-0.42%
2017-01-09,623.98,624.7,624.85,623.98,-0.04%
2017-01-10,623.42,625.28,625.33,623.42,-0.09%
2017-01-11,624.1,624.05,624.2,622.29,0.11%
2017-01-12,624.0,624.1,624.2,624.0,-0.02%
2017-01-13,623.9,624.0,624.2,623.9,-0.02%
2017-01-16,622.31,626.17,626.47,621.49,-0.25%
2017-01-17,615.945,622.595,622.855,615.775,-1.02%
2017-01-18,620.785,616.115,621.015,614.875,0.79%
2017-01-19,619.94,621.98,624.13,619.15,-0.14%
2017-01-20,621.27,618.4,622.09,618.06,0.21%
2017-01-23,616.075,621.135,621.135,615.795,-0.84%
2017-01-24,617.995,616.105,618.685,615.365,0.31%
2017-01-25,617.02,617.88,619.15,616.57,-0.16%
2017-01-26,620.775,617.025,622.345,616.005,0.61%
2017-01-27,620.25,621.05,622.44,618.56,-0.08%
2017-01-30,620.045,620.065,624.475,619.185,-0.03%
2017-01-31,614.16,619.95,620.64,613.37,-0.95%
2017-02-01,615.815,614.055,617.705,613.545,0.27%
2017-02-02,616.505,615.755,616.725,612.415,0.11%
2017-02-03,615.15,616.67,619.2,614.33,-0.22%
2017-02-06,617.65,615.15,618.16,614.67,0.41%
2017-02-07,617.55,617.65,617.65,617.55,-0.02%
2017-02-08,618.36,619.03,619.03,618.36,0.13%
2017-02-09,617.55,617.52,617.55,616.31,-0.13%
2017-02-10,617.45,617.55,617.55,616.83,-0.02%
2017-02-13,625.725,617.275,626.135,617.275,1.34%
2017-02-14,626.94,625.76,627.94,623.58,0.19%
2017-02-15,625.605,626.965,630.295,624.925,-0.21%
2017-02-16,621.325,625.415,626.125,620.855,-0.68%
2017-02-17,624.8,621.45,625.16,621.28,0.56%
2017-02-20,624.56,626.26,626.26,623.63,-0.04%
2017-02-21,624.15,623.04,626.04,622.93,-0.07%
2017-02-22,625.395,626.635,627.265,625.395,0.20%
2017-02-23,623.92,624.05,624.78,622.91,-0.24%
2017-02-24,623.85,623.92,624.78,622.91,-0.01%
2017-02-27,623.72,623.85,624.78,623.72,-0.02%
2017-02-28,623.55,623.72,623.8,622.91,-0.03%
2017-03-01,624.35,623.55,624.5,622.91,0.13%
2017-03-02,624.27,623.55,624.74,623.55,-0.01%
2017-03-03,624.25,624.27,624.35,622.91,0.00%
2017-03-06,626.235,624.265,627.215,623.855,0.32%
2017-03-07,626.82,627.44,628.86,626.2,0.09%
2017-03-08,628.38,626.7,629.69,626.22,0.25%
2017-03-09,628.3,628.38,628.38,628.3,-0.01%
2017-03-10,628.25,628.38,628.38,628.25,-0.01%
2017-03-13,621.4,628.25,628.3,620.55,-1.09%
2017-03-14,624.47,620.89,624.71,620.84,0.49%
2017-03-15,616.85,624.46,624.57,616.56,-1.22%
2017-03-16,615.105,616.765,618.485,613.775,-0.28%
2017-03-17,616.78,615.55,617.84,614.58,0.27%
2017-03-20,616.56,616.31,617.48,615.19,-0.04%
2017-03-21,613.3,617.15,618.18,612.54,-0.53%
2017-03-22,612.37,612.55,613.73,610.84,-0.15%
2017-03-23,612.555,612.485,614.025,611.395,0.03%
2017-03-24,611.9,613.25,614.73,610.74,-0.11%
2017-03-27,607.99,611.03,611.03,605.65,-0.64%
2017-03-28,610.88,607.96,611.73,607.52,0.48%
2017-03-29,613.58,610.75,615.01,610.07,0.44%
2017-03-30,616.03,616.57,621.33,616.03,0.40%
2017-03-31,614.85,615.13,616.15,613.18,-0.19%
2017-04-03,615.985,617.305,617.585,615.985,0.18%
2017-04-04,616.255,616.965,617.345,615.645,0.04%
2017-04-05,616.25,614.65,617.65,614.65,0.00%
2017-04-06,616.89,618.21,618.21,616.89,0.10%
2017-04-07,616.05,616.15,616.5,614.65,-0.14%
2017-04-10,616.0,616.05,617.5,614.78,-0.01%
2017-04-11,620.5,619.0,620.5,618.98,0.73%
2017-04-12,619.85,616.48,620.44,616.0,-0.10%
2017-04-13,619.7,619.85,619.85,619.7,-0.02%
2017-04-14,619.7,619.7,619.85,619.7,0.00%
2017-04-17,619.65,619.7,619.85,619.65,-0.01%
2017-04-18,619.55,619.65,619.65,619.55,-0.02%
2017-04-19,619.52,619.55,619.65,619.52,0.00%
2017-04-20,610.8,619.52,610.84,609.5,-1.41%
2017-04-21,608.5,610.19,610.8,608.5,-0.38%
2017-04-24,608.5,608.5,610.19,607.89,0.00%
2017-04-25,608.4,608.5,608.5,608.4,-0.02%
2017-04-26,603.23,607.76,607.76,602.16,-0.85%
2017-04-27,604.95,603.46,606.34,600.96,0.29%
2017-04-28,612.385,612.805,613.755,608.725,1.23%
2017-05-01,605.15,605.15,605.15,605.15,-1.18%
2017-05-02,601.74,604.51,604.51,601.25,-0.56%
2017-05-03,604.23,601.8,604.45,601.18,0.41%
2017-05-04,602.88,604.86,605.53,602.76,-0.22%
2017-05-05,599.15,602.88,602.88,597.77,-0.62%
2017-05-08,599.845,601.825,601.825,599.845,0.12%
2017-05-09,599.05,599.08,599.08,596.9,-0.13%
2017-05-10,598.95,599.05,599.05,598.5,-0.02%
2017-05-11,598.88,598.95,599.5,597.5,-0.01%
2017-05-12,598.8,598.88,598.88,598.8,-0.01%
2017-05-15,599.3,598.18,600.72,598.18,0.08%
2017-05-16,595.315,601.275,601.385,594.645,-0.66%
2017-05-17,591.2,594.6,594.6,590.1,-0.69%
2017-05-18,592.225,592.185,594.645,591.005,0.17%
2017-05-19,588.4,591.83,591.83,587.81,-0.65%
2017-05-22,585.355,587.735,589.125,583.835,-0.52%
2017-05-23,587.35,588.29,588.54,587.35,0.34%
2017-05-24,586.32,585.51,588.94,585.51,-0.18%
2017-05-25,586.71,586.3,587.66,584.68,0.07%
2017-05-26,589.72,587.43,590.69,586.49,0.51%
2017-05-29,589.795,588.795,589.955,588.235,0.01%
2017-05-30,588.46,589.91,592.51,587.46,-0.23%
2017-05-31,585.48,588.46,589.67,585.01,-0.51%
2017-06-01,587.07,585.46,587.7,584.67,0.27%
2017-06-02,584.8,587.85,588.33,583.37,-0.39%
2017-06-05,584.88,584.41,586.76,584.0,0.01%
