Date,Price,Open,High,Low,Change %
2007-04-01,1.0787486515641855,0.9252,0.927,0.9252,0.08%
2007-05-01,1.0780508840017249,0.9264,0.9276,0.9264,0.06%
2007-06-01,1.079097874177188,0.9255,0.9267,0.9255,-0.10%
2007-07-01,1.0744600838078866,0.924,0.9372,0.919,0.43%
2007-08-01,1.063264221158958,0.926,0.942,0.922,1.05%
2007-09-01,1.0542962572482868,0.933,0.9501,0.9215,0.85%
2007-10-01,1.0389610389610389,0.94,0.9635,0.935,1.48%
2007-11-01,1.0147133434804667,0.959,0.9945,0.9375,2.39%
2007-12-01,1.0368066355624677,0.971,1.002,0.945,-2.13%
2008-01-01,1.0322047894302229,0.9725,0.9987,0.945,0.45%
2008-02-01,1.0322047894302229,0.9775,0.9863,0.9461,0.00%
2008-03-01,1.0123506782749545,0.962,0.9927,0.96,1.96%
2008-04-01,0.9960159362549801,0.978,1.0055,0.9535,1.64%
2008-05-01,0.98405825624877,0.9815,1.0467,0.97,1.22%
2008-06-01,0.9049773755656109,1.0275,1.105,0.975,8.74%
2008-07-01,0.8658008658008658,1.0901,1.16,1.01,4.52%
2008-08-01,0.864528399757932,1.14,1.1638,1.14,0.15%
2008-09-01,0.8624407072013799,1.1605,1.1635,1.1535,0.24%
2008-10-01,0.8536064874093043,1.1585,1.172,1.1575,1.03%
2008-11-01,0.823519723297373,1.1727,1.2143,1.1583,3.65%
2008-12-01,0.7856693903205532,1.2183,1.2737,1.2183,4.82%
2009-01-01,0.7461572899567228,1.2697,1.3402,1.2697,5.30%
2009-02-01,0.718132854578097,1.3425,1.3985,1.322,3.90%
2009-03-01,0.708215297450425,1.3965,1.4315,1.016,1.40%
2009-04-01,0.6878525244187647,1.4118,1.4547,1.4118,2.96%
2009-05-01,0.6779661016949152,1.425,1.475,1.4135,1.46%
2009-06-01,0.6686726847208291,1.474,1.4955,1.4735,1.39%
2009-07-01,0.6682258603407952,1.494,1.502,1.4425,0.07%
2009-08-01,0.6842285323297982,1.498,1.4985,1.4525,-2.34%
2009-09-01,0.6914194842010648,1.4612,1.4643,1.4387,-1.04%
2009-10-01,0.6989585517578807,1.4483,1.4567,1.4307,-1.08%
2009-11-01,0.6999370056694897,1.4318,1.4478,1.4272,-0.14%
2009-12-01,0.698421567257997,1.4527,1.4527,1.4227,0.22%
2010-01-01,0.698714365567356,1.4323,1.4527,1.4127,-0.04%
2010-02-01,0.7006726457399103,1.4312,1.4467,1.4112,-0.28%
2010-03-01,0.7038783698176955,1.4263,1.4312,1.4067,-0.46%
2010-04-01,0.7077140835102619,1.4225,1.433,1.403,-0.54%
2010-05-01,0.6993006993006994,1.4125,1.432,1.4125,1.20%
2010-06-01,0.6932409012131716,1.43,1.444,1.4125,0.87%
2010-07-01,0.6952652436904679,1.4412,1.4587,1.4112,-0.29%
2010-08-01,0.6970098278385725,1.4412,1.4563,1.4192,-0.25%
2010-09-01,0.7017543859649122,1.4385,1.445,1.423,-0.68%
2010-10-01,0.6983240223463687,1.417,1.445,1.4188,0.49%
2010-11-01,0.6913238852402351,1.4315,1.456,1.4185,1.01%
2010-12-01,0.6745362563237775,1.4465,1.4898,1.4258,2.49%
2011-01-01,0.64,1.484,1.5697,1.474,5.40%
2011-02-01,0.6657789613848203,1.5625,1.5775,1.4922,-3.87%
2011-03-01,0.6626905235255136,1.511,1.545,1.5102,0.47%
2011-04-01,0.6637902422834384,1.509,1.5245,1.4913,-0.17%
2011-05-01,0.6648936170212766,1.5065,1.5178,1.5015,-0.17%
2011-06-01,0.6613756613756614,1.504,1.5185,1.503,0.53%
2011-07-01,0.6623393826996953,1.512,1.52,1.5033,-0.15%
2011-08-01,0.6555657532450504,1.508,1.5425,1.507,1.03%
2011-09-01,0.6246096189881324,1.526,1.6035,1.5259,4.96%
2011-10-01,0.627549419516787,1.5854,1.6425,1.5867,-0.47%
2011-11-01,0.6013229104028863,1.5945,1.6675,1.592,4.36%
2011-12-01,0.6108735491753207,1.654,1.662,1.627,-1.56%
2012-01-01,0.5962673662870431,1.637,1.752,1.6395,2.45%
2012-02-01,0.5882352941176471,1.6771,1.7179,1.6809,1.37%
2012-03-01,0.5633802816901409,1.6974,1.7811,1.6998,4.41%
